Order ID,Product title,Orders,Total sales,Quantity ordered
7383284809971 ,Disney Mickey and Friends Family Matching Graffiti Casual Dress/T-shirt/jumpsuit Black,1,13.63,1
7366407127283 ,3PCS Baby Boy Elegant Grid/Houndstooth Shirt Collar Long Sleeve Set Brown,1,32.91,1
7453390799091 ,Family Matching Striped Spliced Cut Out One-piece Swimsuit and Colorblock Swim Trunks Green/White,1,4.52,1
7340547309811 ,Family Matching Orange and All Over Tropical Plant Print Splicing Ruffle One-Piece Swimsuit and Swim Trunks Shorts Orange color,1,32.5,1
7100399845619 ,Disney Mickey and Friends Family Matching Naia??Floral Allover Print Shirt/Sleeveless Hollow-out Dress/Romper Multi-color,1,22.16,1
7446341058803 ,Family Matching Allover Plant Floral Print Halterneck Dresses and Short-sleeve Shirts Sets Black,1,14.41,1
7350228254963 ,"Matching Family Swimsuit Colorblock Drawstring Swim Trunks or Striped Blue Spliced Tankini with Cross-Front, Tie-Back, and Thin Straps Color block",1,16.23,1
7366840484083 ,Disney Mickey and Friends Family Matching Naia??Colorful Checkered Pattern Top/Sleeveless Dress/Onesie Multi-color,1,16.89,1
7093506375923 ,Disney Winnie the Pooh Baby Girl 3pcs Ruffled Romper and Pants with Headband Set Ginger,1,21.19,1
7415154508019 ,Justice League Toddler Boy Batman/Superman/Wonder Woman/The Flash Cotton Tee Blue,1,14.03,1
7410560139507 ,"Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,18.25,1
7502307033331 ,Family Matching Leaf Print Green Short-sleeve Shirt or Sling Shirred Dress Set Green,1,18.49,1
7342033043699 ,Family Matching Tropical Floral Print Short-sleeve Top or Camisole Dress Set Multi-color,1,13.8,1
7387284734195 ,Family Matching Sets Floral Panel Short-sleeve T-shirts or All Over Floral Print V Neck Spaghetti Strap Midi Dresses with Hidden Snap royalblue,1,8.51,1
7483439481075 ,Family Matching Solid Leaf Sleeveless Halter Dresses And Short Sleeve Tops Sets Black,1,20.55,1
7359129256179 ,Disney Princess Matching Family Moana Dress/Shirt Green,1,21.44,1
7495854457075 ,Family Matching Colorblock Swim Trunks or Wrap Side V-Neck Swimsuit MultiColour,1,10.78,1
7339830509811 ,Family Matching Leaf Print Green Short-sleeve Shirt or Sling Shirred Dress Set Green,1,16.95,1
7300176969971 ,Family Matching Colorblock Stripe Swim Trunks or One Piece One Shoulder Swimsuit Army green,1,13.72,1
7491850174707 ,PAW Patrol Family Matching Chase Large Flower All-over Print Swimsuit Roseo,1,12.71,1
7417978257651 ,Disney Mickey and Friends Mommy and Me Minnie Mouse Halter Design Dress Mint Green,1,35.36,1
7400706965747 ,Family Matching Stripe & Colorblock Spliced One Piece Swimsuit or Swim Trunks Shorts ColorBlock,1,30.23,1
7464012349683 ,PAW Patrol Toddler Girl 1pc Skye Ocean Pattern Glossy Material Ruffle UPF 50+ Swimsuit Hot Pink,1,20.29,1
7454059626739 ,Family Matching Pink Sleeveless Splicing Floral Print Midi Dresses and Colorblock Short-sleeve Polo Shirts Sets Pink,1,20.77,1
7497460449523 ,Disney Mickey and Friends Toddler Girl Minnie Mouse Polka Dot Pattern Hooded Zipper Ruffle-hem Swim Cover-up Pink,1,12.02,1
7287011639539 ,Family Matching Allover Plant Floral Print Halterneck Dresses and Short-sleeve Shirts Sets Black,1,21.91,1
7298296185075 ,Disney Princess Moana Toddler Girl Naia??Character Floral Print Spaghetti Strap Romper Khaki,1,16.7,1
7300751458547 ,"Family Matching Casual Dress or T-Shirt, Solid Color, Fabric Stitching royalblue",1,18.15,1
7300756963571 ,Disney Princess Toddler Girl Ariel Print Ruffled Dress Blue,1,9.63,1
7383763321075 ,Family Matching Hawaiian Outfits Tropical Floral Print Vacation Clothes Strap Belted Dress or Short-sleeve Shirts Summer Beachwear Set Navy,1,13.91,1
7504149348595 ,Disney Frozen Toddler Girl Elsa Ruffle-sleeve Sequin Dress Silver,1,32.09,1
7097275580659 ,Peppa Pig Toddler Girl 2pcs Cotton Ruffle-sleeve Top and Naia??Floral Plaid Leggings Set White,1,18.47,1
7347438584051 ,Family Matching Blue Cotton Colorblock Tee Shirt or Floral Print Smocking Puff-sleeve Dress Set  Pink,1,10.31,1
7351327326451 ,"Tropical Floral Family Matching Outfits Pink Blue Leaf Print Short-sleeve Shirt or One Shoulder Smocked top and Skirt Co-ord Set for Vacation, Cruise, Beach White",1,35.11,1
7395345531123 ,Barbie Toddler/Kid Girl Valentine's Day Letter and Heart Allover Print Dress PinkyWhite,1,6.49,1
7496651145459 ,Family Matching Allover Plants Print Swim Trunks Shorts and V Neck Spaghetti Strap Splicing One-Piece Swimsuit Dark Green,1,12.66,1
7096886001907 ,Funny Disney Mickey and Friends Sibling Set Boy/Girl Minnie/Mickey Character Stripped Swimsuit Dark Blue,1,20.36,1
7411710034163 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,12,1
7409213112563 ,PAW Patrol Toddlers Girl 1pc Skye Tropical Plant Sleeveless Dresse Hot Pink,1,12.71,1
7508175290611 ,Family Matching Cotton Tee Flora Print Splicing Shirt or Tank Dress Deep Blue,1,22.72,1
7385981944051 ,"Disney Mickey & Friends Toddler/Kid Girl Sporty Dress with Built-in Shorts & Pockets Üd?Breathable Park Outfit, Allover Print",1,27.06,1
